BenchmarkDotNet=v0.12.1, OS=ubuntu 16.04
Intel Xeon CPU E5-2673 v3 2.40GHz, 1 CPU, 2 logical and 2 physical cores
  [Host]   : Mono 6.12.0.90 (tarball Fri), X64 
  Core 2.1 : .NET Core 2.1.22 (CoreCLR 4.6.29220.03, CoreFX 4.6.29220.01), X64 RyuJIT
  Core 3.1 : .NET Core 3.1.8 (CoreCLR 4.700.20.41105, CoreFX 4.700.20.41903), X64 RyuJIT
  Core 5.0 : .NET Core 5.0.0 (CoreCLR 5.0.20.45114, CoreFX 5.0.20.45114), X64 RyuJIT
  LLVM-Off : Mono 6.12.0.90 (tarball Fri), X64 
  LLVM-On  : Mono 6.12.0.90 (tarball Fri), X64 

IterationCount=15  LaunchCount=2  WarmupCount=10  

|    Method |      Job |       Jit |       Runtime |       Kind |      Mean |     Error |    StdDev |    Median | Ratio | RatioSD | Rank |   Gen 0 |  Gen 1 |  Gen 2 | Allocated |
|---------- |--------- |---------- |-------------- |----------- |----------:|----------:|----------:|----------:|------:|--------:|-----:|--------:|-------:|-------:|----------:|
| Optimized | Core 2.1 |    RyuJit | .NET Core 2.1 |      Array |  38.69 us |  2.011 us |  3.010 us |  38.26 us |  0.11 |    0.01 |    1 |  6.7139 | 0.6714 |      - |   43136 B |
|   Default | Core 2.1 |    RyuJit | .NET Core 2.1 |      Array | 348.58 us | 13.036 us | 19.108 us | 339.44 us |  1.00 |    0.00 |    2 |  7.3242 | 0.4883 |      - |   53208 B |
|           |          |           |               |            |           |           |           |           |       |         |      |         |        |        |           |
| Optimized | Core 3.1 |    RyuJit | .NET Core 3.1 |      Array |  38.39 us |  1.618 us |  2.422 us |  37.78 us |  0.11 |    0.01 |    1 |  2.6855 | 0.2441 |      - |   42945 B |
|   Default | Core 3.1 |    RyuJit | .NET Core 3.1 |      Array | 364.38 us | 12.768 us | 19.111 us | 364.67 us |  1.00 |    0.00 |    2 |  2.9297 |      - |      - |   53192 B |
|           |          |           |               |            |           |           |           |           |       |         |      |         |        |        |           |
| Optimized | Core 5.0 |    RyuJit | .NET Core 5.0 |      Array |  37.93 us |  1.544 us |  2.311 us |  36.94 us |  0.13 |    0.01 |    1 |  2.6855 | 0.3052 |      - |   42945 B |
|   Default | Core 5.0 |    RyuJit | .NET Core 5.0 |      Array | 299.23 us | 11.447 us | 17.133 us | 295.52 us |  1.00 |    0.00 |    2 |  2.9297 |      - |      - |   53197 B |
|           |          |           |               |            |           |           |           |           |       |         |      |         |        |        |           |
| Optimized | LLVM-Off | LegacyJit |          Mono |      Array | 104.50 us |  4.018 us |  5.889 us | 103.18 us |  0.20 |    0.02 |    1 |  8.7891 | 0.4883 | 0.4883 |         - |
|   Default | LLVM-Off | LegacyJit |          Mono |      Array | 514.23 us | 21.151 us | 31.657 us | 505.38 us |  1.00 |    0.00 |    2 | 10.7422 |      - |      - |         - |
|           |          |           |               |            |           |           |           |           |       |         |      |         |        |        |           |
| Optimized |  LLVM-On |      Llvm |          Mono |      Array |  68.64 us |  2.005 us |  2.875 us |  67.30 us |  0.14 |    0.01 |    1 |       - |      - |      - |         - |
|   Default |  LLVM-On |      Llvm |          Mono |      Array | 479.30 us |  7.373 us |  9.843 us | 473.70 us |  1.00 |    0.00 |    2 |       - |      - |      - |         - |
|           |          |           |               |            |           |           |           |           |       |         |      |         |        |        |           |
| Optimized | Core 2.1 |    RyuJit | .NET Core 2.1 |       List |  41.18 us |  1.871 us |  2.801 us |  40.67 us |  0.20 |    0.01 |    1 |  6.7139 | 0.6714 |      - |   43136 B |
|   Default | Core 2.1 |    RyuJit | .NET Core 2.1 |       List | 202.94 us |  6.312 us |  9.253 us | 203.62 us |  1.00 |    0.00 |    2 |  8.0566 | 0.7324 |      - |   53368 B |
|           |          |           |               |            |           |           |           |           |       |         |      |         |        |        |           |
| Optimized | Core 3.1 |    RyuJit | .NET Core 3.1 |       List |  41.46 us |  1.637 us |  2.400 us |  40.77 us |  0.20 |    0.01 |    1 |  2.6855 | 0.3052 |      - |   42944 B |
|   Default | Core 3.1 |    RyuJit | .NET Core 3.1 |       List | 204.37 us |  6.756 us | 10.112 us | 205.12 us |  1.00 |    0.00 |    2 |  3.1738 | 0.2441 |      - |   53355 B |
|           |          |           |               |            |           |           |           |           |       |         |      |         |        |        |           |
